frame_id,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
000217,-2.612309,0.169885,1.393617,0.000000,0.999048,0.000000,-0.043619
000218,-2.617800,0.169885,1.492447,0.000000,0.999048,0.000000,-0.043619
000219,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000220,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000221,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000222,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000223,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000224,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000225,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000226,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000227,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000228,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000229,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000230,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000231,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000232,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000233,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000234,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000235,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000236,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000237,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000238,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000239,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000240,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000241,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000242,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000243,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000244,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000245,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
000246,-2.609084,0.169885,1.592067,0.000000,0.999048,0.000000,-0.043619
